#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-DC8E05C384350A7-1849F2EA150BE32A
#datatype	hitsConcise Results
#status	0
#Start time	2021-01-12T13:42:42	Run time	0:00:08:48
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#6 - >NEDD9.ENSG00000111859.ENST00000513989.5[]	superfamily	388381	1	29	8.52762e-18	67.318	cl17036	SH3 superfamily	C	 - 
Q#8 - >EFS.ENSG00000100842.ENST00000216733.8[]	specific	371854	371	556	8.07331e-75	236.472	pfam12026	DUF3513	 - 	cl13463
Q#8 - >EFS.ENSG00000100842.ENST00000216733.8[]	specific	212936	8	70	5.95116e-33	119.994	cd12003	SH3_EFS	 - 	cl17036
Q#8 - >EFS.ENSG00000100842.ENST00000216733.8[]	superfamily	223039	67	205	0.00433007	40.1545	cl33723	PHA03307 superfamily	C	 - 
Q#9 - >CASS4.ENSG00000087589.ENST00000434344.2[]	superfamily	386995	228	349	1.32776e-74	226.268	cl13463	FAT-like_CAS_C superfamily	 - 	 - 
Q#9 - >CASS4.ENSG00000087589.ENST00000434344.2[]	specific	212933	14	70	3.93793e-36	124.992	cd12000	SH3_CASS4	 - 	cl17036
Q#9 - >CASS4.ENSG00000087589.ENST00000434344.2[]	superfamily	185628	121	230	0.00321145	39.2878	cl33186	PTZ00449 superfamily	NC	 - 
Q#11 - >EFS.ENSG00000100842.ENST00000429593.6[]	specific	371854	202	387	2.19272e-76	235.317	pfam12026	DUF3513	 - 	cl13463
Q#12 - >EFS.ENSG00000100842.ENST00000351354.3[]	specific	371854	278	463	7.57811e-76	236.087	pfam12026	DUF3513	 - 	cl13463
Q#13 - >NEDD9.ENSG00000111859.ENST00000379433.5[]	specific	212935	7	63	5.8594e-42	134.343	cd12002	SH3_NEDD9	 - 	cl17036
Q#16 - >NEDD9.ENSG00000111859.ENST00000379446.10[]	specific	211404	401	562	5.37733e-110	332.985	cd11550	Serine_rich_NEDD9	 - 	cl07433
Q#16 - >NEDD9.ENSG00000111859.ENST00000379446.10[]	specific	371854	621	828	4.46678e-108	329.69	pfam12026	DUF3513	 - 	cl13463
Q#16 - >NEDD9.ENSG00000111859.ENST00000379446.10[]	specific	212935	7	63	1.01412e-37	134.343	cd12002	SH3_NEDD9	 - 	cl17036
Q#17 - >NEDD9.ENSG00000111859.ENST00000397378.7[]	superfamily	388381	7	32	7.42691e-15	59.9992	cl17036	SH3 superfamily	C	 - 
Q#18 - >NEDD9.ENSG00000111859.ENST00000504387.5[]	specific	211404	401	562	5.37733e-110	332.985	cd11550	Serine_rich_NEDD9	 - 	cl07433
Q#18 - >NEDD9.ENSG00000111859.ENST00000504387.5[]	specific	371854	621	828	3.01192e-108	330.461	pfam12026	DUF3513	 - 	cl13463
Q#18 - >NEDD9.ENSG00000111859.ENST00000504387.5[]	specific	212935	7	63	1.01412e-37	134.343	cd12002	SH3_NEDD9	 - 	cl17036
Q#19 - >CASS4.ENSG00000087589.ENST00000360314.7[]	specific	211405	435	593	1.00388e-97	299.839	cd11551	Serine_rich_CASS4	 - 	cl07433
Q#19 - >CASS4.ENSG00000087589.ENST00000360314.7[]	specific	211409	665	786	1.42925e-70	227.038	cd11568	FAT-like_CASS4_C	 - 	cl13463
Q#19 - >CASS4.ENSG00000087589.ENST00000360314.7[]	specific	212933	14	70	2.84103e-35	127.303	cd12000	SH3_CASS4	 - 	cl17036
Q#19 - >CASS4.ENSG00000087589.ENST00000360314.7[]	superfamily	223021	85	292	0.000521813	43.7737	cl33720	PHA03247 superfamily	N	 - 
Q#22 - >NEDD9.ENSG00000111859.ENST00000620854.4[]	specific	211404	252	413	2.92016e-111	332.214	cd11550	Serine_rich_NEDD9	 - 	cl07433
Q#22 - >NEDD9.ENSG00000111859.ENST00000620854.4[]	specific	371854	472	679	2.57211e-109	328.92	pfam12026	DUF3513	 - 	cl13463
Q#23 - >ENST00000396525.6[]	specific	211397	702	838	5.80706e-51	174.78	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#23 - >ENST00000396525.6[]	specific	367217	78	308	6.16539e-50	174.462	pfam02854	MIF4G	 - 	cl02652
Q#23 - >ENST00000396525.6[]	specific	214714	506	619	3.22149e-28	109.256	smart00544	MA3	 - 	cl02653
Q#23 - >ENST00000396525.6[]	superfamily	371429	382	513	0.000323401	42.3181	cl25802	Med25_SD1 superfamily	C	 - 
Q#25 - >ENST00000400422.6[]	specific	367217	791	1019	2.1847e-62	211.442	pfam02854	MIF4G	 - 	cl02652
Q#25 - >ENST00000400422.6[]	specific	211397	1464	1592	6.40542e-48	167.462	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#25 - >ENST00000400422.6[]	specific	367215	1258	1370	6.79244e-37	135.09	pfam02847	MA3	 - 	cl02653
Q#25 - >ENST00000400422.6[]	superfamily	388377	1571	1617	8.10268e-05	45.2817	cl17013	W2 superfamily	N	 - 
Q#25 - >ENST00000400422.6[]	superfamily	236669	10	295	0.000127646	47.0019	cl35903	PRK10263 superfamily	NC	 - 
Q#26 - >ENST00000264211.12[]	specific	367217	755	983	2.96171e-62	211.056	pfam02854	MIF4G	 - 	cl02652
Q#26 - >ENST00000264211.12[]	specific	211397	1428	1556	8.61502e-48	167.076	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#26 - >ENST00000264211.12[]	specific	367215	1222	1334	7.31285e-37	134.705	pfam02847	MA3	 - 	cl02653
Q#26 - >ENST00000264211.12[]	superfamily	388377	1535	1581	8.84478e-05	44.8965	cl17013	W2 superfamily	N	 - 
Q#26 - >ENST00000264211.12[]	superfamily	236669	10	296	0.00018976	46.2315	cl35903	PRK10263 superfamily	NC	 - 
Q#27 - >ENST00000339995.10[]	specific	211397	740	876	7.5244e-51	174.78	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#27 - >ENST00000339995.10[]	specific	367217	78	308	5.44745e-50	174.848	pfam02854	MIF4G	 - 	cl02652
Q#27 - >ENST00000339995.10[]	specific	214714	544	657	2.59442e-28	109.642	smart00544	MA3	 - 	cl02653
Q#27 - >ENST00000339995.10[]	superfamily	237191	436	543	0.000257405	43.493	cl36177	PRK12757 superfamily	NC	 - 
Q#34 - >ENST00000374935.7[]	specific	367217	475	703	2.97888e-62	211.056	pfam02854	MIF4G	 - 	cl02652
Q#34 - >ENST00000374935.7[]	specific	211397	1148	1276	1.90606e-47	165.536	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#34 - >ENST00000374935.7[]	specific	367215	942	1054	8.81212e-37	134.319	pfam02847	MA3	 - 	cl02653
Q#34 - >ENST00000374935.7[]	superfamily	388377	1255	1301	8.96241e-05	44.8965	cl17013	W2 superfamily	N	 - 
